"bra (adj)","good (adj)"
"dålig (dåligt, dåliga)","bad (adj)"
"fantastisk (fantastiskt, fantastiska)","fantastic"
"stackars (adj)","poor (unfortunate)"
"god (gott, goda)","tasty"

"stor (stort, stora)","big"
"liten (litet, små)","small"
"gammal (gammalt, gamla)","old"
"ung (ungt, unga)","young (adj)"
"kul (kul, kul)","fun (adj)"
"lång (långt, långa)","long"
"kort (kort, korta)","short (adj)"
"samma (samma, samma)","same (adj)"
"olik (olikt, olika)","different"
"tidig (tidigt, tidiga)","early (adj)"
"sen (sent, sena)","late (adj)"
"glad (glatt, glada)","happy"
"sorglig (sorgligt, sorgliga)","sad"

"ungefärlig (ungefärligt, ungefärliga)","approximate"
"frisk (friskt, friska)","healthy / fresh"
"halv (halvt, halva)","half (adj)"
"motsatt (motsatt, motsatta)","opposite (adj)"
"förra (adj)", "previous (adj)"
"nästa (adj)","next (adj)"
"pytteliten (pyttelitet, pyttesmå)","tiny"
"rak (rakt, raka)","straight (adj)"
"relativ (relativt, relativa)","relative (adj)"
"rätt (rätt, rätta)","right (correct)"
"fel (adj)","wrong (incorrect)"
"singel (adj)","single (adj)"
"sista (adj)","last (adj)"
"skön (skönt, sköna)","pleasant / comfortable"

"tråkig (tråkigt, tråkiga)","boring"
"lugn (lugnt, lugna)","calm (adj)"
"spännande (adj)","exciting"
"speciell (speciellt, speciella)","special (adj)"

"viss (visst, vissa)","certain / specific"
"väldig (väldigt, väldiga)","vast / immense"

"påslagen (påslaget, påslagna)","on (switched on)"
"avstängd (avstängt, avstängda)","off (switched off)"
"verklig (verkligt, verkliga)","real (adj)"
"falsk (falskt, falska)","fake (adj)"

"röd (rött, röda)","red"
"orange (orange, orange)","orange (adj)"
"gul (gult, gula)","yellow"
"grön (grönt, gröna)","green (adj)"
"blå (blått, blåa)","blue"
"lila (lila, lila)","purple"
"rosa (rosa, rosa)","pink"
"brun (brunt, bruna)","brown"
"svart (svart, svarta)","black"
"vit (vitt, vita)","white"
"grå (grått, gråa)","gray"

"nordlig (nordligt, nordliga)","northern"
"sydlig (sydligt, sydliga)","southern"
"östlig (östligt, östliga)","eastern"
"västlig (västligt, västliga)","western (adj)"
"nära","near (adj)"
"höger","right (direction)"
"vänster","left (direction)"
"övre","upper (adj)"
"nedre","lower (adj)"
"yttre","outer (adj)"
"inre","inner (adj)"
